ar,bs-Latn,bg,ca,zh-CHS,zh-CHT,hr,cs,da,nl,en,et,fi,fr,de,el,ht,he,hi,mww,hu,id,it,ja,sw,tlh,tlh-Qaak,ko,lv,lt,ms,mt,yua,no,otq,fa,pl,pt,ro,ru,sr-Cyrl,sr-Latn,sk,sl,es,sv,th,tr,uk,ur,vi,cy
السماء,Raj,небето,cel,天堂,天堂,raj,nebe,himlen,hemel,heaven,taevas,taivaan,cieux,Himmel,τον ουρανό,nan syèl la,עדן,स्वर्ग,saum ntuj ceeb tsheej,ég,surga,cielo,天国,mbinguni,QI'tu',,천국,debesis,dangaus,Syurga,Norbert,ka'anal,himmelen,hments'i'i,آسمان,niebo,céu,cer,небеса,Рај,Raj,neba,nebesa,cielo,Heaven,สวรรค์,cennet,небо,آسمان,Thiên đàng,nefoedd
الثقيلة,teška,тежки,pesat,重,重,teška,těžký,tunge,zware,heavy,raskete,raskas,lourdes,schwere,βαρύ,lou,כבד,भारी,hnyav,nehéz,berat,pesante,重い,nzito,'ugh,,무거운,smagie,sunkiųjų,berat,tqila,aal,tunge,hñei,سنگین,ciężkie,pesado,grele,тяжелые,тешке,teške,ťažký,težka,pesado,tunga,หนัก,ağır,важкі,بھاری,hạng nặng,trwm
الجحيم,pakao,ада,l'infern,地狱,地獄,pakao,peklo,helvede,hel,hell,põrgu,helvetti,enfer,Hölle,κόλαση,kote mò yo ye,לעזאזל,नरक,ntuj raug txim,pokol,neraka,inferno,地獄,kuzimu,ghe''or,,지옥,elle,pragaras,Neraka,hell,na,helvete,nidu,جهنم,piekło,inferno,iad,Ада,пакао,pakao,peklo,pekel,infierno,helvetet,นรก,cehennem,пекло,دوزخ,địa ngục,uffern
عالية,visoka,високо,alta,高,高,visoke,vysoká,høj,hoge,high,kõrge,korkea,haute,hoch,υψηλή,anwo nan syèl la,גבוהה,उच्च,npaws,magas,tinggi,alta,高,juu,jen,,높은,augsta,didelis,tinggi,għoli,ka'anal,høy,mextha,بالا,Wysoka,alta,mare,высокая,високо,visoko,vysoká,visoko,alta,hög,สูง,yüksek,висока,اعلی,cao,uchel
هيل,brdo,Хил,turó,小山,小山,brdo,Hill,Hill,heuvel,hill,Hill,Hill,colline,Hügel,λόφο,mòn,היל,हिल,toj,Hill,Hill,collina,ヒル,kilima,HuD,,힐,kalna,kalvos,Bukit,Telg a ta ',colina,Hill,colina,تپه,wzgórze,colina,deal,Хилл,брдо,brdo,Hill,hrib,colina,Hill,ฮิลล์,Hill,Хілл,ہل، لندن,Hill,Mynydd
ثقب,rupa,дупка,forat,孔,孔,rupa,otvor,hul,gat,hole,auk,reikä,trou,Loch,τρύπα,twou,חור,छेद,zoo li tus d.,lyuk,lubang,foro,穴,shimo,qung,,구멍,caurums,skylė,lubang,toqba,Chéen u,hullet,oki ar,سوراخ,otwór,buraco,gaura,отверстие,рупа,rupa,diera,luknjo,agujero de,hål,หลุม,delik,отвір,ہول,lỗ,twll
حصان,konj,кон,cavall,马,馬,konj,kůň,hest,paard,horse,hobune,hevonen,cheval,Pferd,άλογο,chwal,סוס,घोड़ा,nees,ló,kuda,cavallo,馬,farasi,Sargh,,말,zirgs,arklys,Kuda,taż-żwiemel,tsíimin,hest,fani,اسب,Koń,cavalo,cal,лошадь,коњ,konj,kôň,konj,caballo,häst,ม้า,at,Кінь,گھوڑا,con ngựa,ceffyl
مستشفى,bolnica,болница,Hospital,医院,醫院,bolnica,nemocnice,Hospital,ziekenhuis,hospital,haigla,sairaala,Hôpital,Krankenhaus,Νοσοκομείο,lopital,בית החולים,अस्पताल,tsev kho mob,Kórház,rumah sakit,Ospedale,病院,hospitali,ropyaH qach, ,병원,slimnīcas,Juokingi Sekso Žaidimai,Hospital,fl-Isptar,K'oja'ano'ob,sykehus,Hospital,بیمارستان,Szpital,hospital,spital,Больница,болница,bolnica,nemocnice,bolnišnice,Hospital,sjukhus,โรงพยาบาล,Hastane,Лікарня,ہسپتال,bệnh viện,ysbyty
الساخنة,vanjska,Горещи,calenta,热,熱,vanjska,horký,Hot,Hot,hot,kuum,Hot,chaud,Hot,Hot,Mwen cho,חם,गर्म,kub,forró,panas,caldo,ホット,moto,tuj,,핫,karstā,Karšta,Panas,sħun,chokoj,Hot,mpa,داغ,gorąco,quente,Hot,Горячие,врело,vrelo,horúce,vroče,caliente,heta,ร้อน,sıcak,Гарячі,گرم، شہوت انگیز,Hot,poeth
الفندق,hotel,хотел,Hotel,酒店,酒店,Hotel,Hotel,Hotel,Hotel,hotel,Hotell,Hotel,Hôtel,Hotel,ξενοδοχείο,otèl,מלון,होटल,tsev so,a Hotel,Hotel,Hotel,ホテル,hoteli,mebpa'mey,,호텔,Viesnīca,Viešbutis,Hotel,lukanda,Hotel,Hotel,Hotel,هتل,Hotel,Hotel,Hotel,Отель,хотел,hotel,Hotel,Hotel,Hotel,Hotel,โรงแรม,otel,Готель,ہوٹل,khách sạn,gwesty
ساعة,sata,час,hores,小时,小時,sata,hodina,time,uur,hour,tund,Fi,heure,Stunde,ώρα,Lè,שעה,घंटा,teev,óra,jam,ora,時間,saa,rep,,시간,stunda,valandą,jam,siegħa,p'isib,time,ora,ساعت,godziny,hora,oră,стойка,сат времена,sat vremena,hodinu,uro,hora,timme,ชั่วโมง,Saat,година,گھنٹہ,giờ,awr
المنزل,kuća,къща,casa,房子,房子,kuća,dům,hus,huis,house,maja,House,maison,Haus,σπίτι,kay,הבית,हाउस,lub tsev,ház,rumah,Casa,家,Nyumba,juH qach, ,하우스,māja,namas,Rumah,Dar,Wotoch,huset,Nguu,خانه,Dom,casa,Casa,дом,кућа,kuća,dom,hiša,Casa,hus,บ้าน,ev,будинок,گھر,ngôi nhà,Tŷ
البشرية,ljudski,човешки,humà,人类,人類,ljudski,lidské,menneskelige,menselijke,human,inimeste,ihmisen,humaine,menschlichen,ανθρώπινη,imen,אנושי,मानव,tib neeg,emberi,manusia,umano,人間,binadamu,Human,,인간의,cilvēku,žmogaus,manusia,mill-bniedem,ch'íijsajil,menneskelige,humano,انسان,człowieka,humana,umane,человека,људски,ljudski,ľudské,ljudi,humano,mänskliga,มนุษย์,insan,людини,انسانی,con người,dynol
الزوج,muž,съпруг,marit,丈夫,丈夫,muž,manžel,mand,man,husband,abikaasa,aviomies,mari,Mann,σύζυγος,mari,בעלה,पति,tus txiv,férj,suami,marito,夫,mume,loDnal,,남편,vīrs,vyras,suami,ir-raġel,wíicham,mann,ndo̲,شوهر,mąż,marido,soţul,муж,супруг,suprug,manžel,mož,marido,man,สามี,Koca,чоловік,خاوند,chồng,gŵr
أنا,Sam,Аз,Jo,我,我,Ja,Já,Jeg,Ik,I,Ma,Olen,J’ai,Ich,Εγώ,mwen,. אני,मैं,Kuv,Én,Saya,Ho,私,Mimi,jIH,,난,Es,Aš,Saya,I,Teen,Jeg,Di,من,Ja,Eu,Am,Я,Ја,Ja,Som,Sem,Me,Jag,ผม,Ben,Я,میں,Tôi,Rwy'n
الجليد,led,лед,gel,冰,冰,LED,LED,Ice,ijs,ice,jää,Ice,glace,Eis,πάγου,glas,קרח,बर्फ,ka,jég,es,ghiaccio,氷,barafu,chuch,,얼음,ledus,ledo,ais,tas-silġ,hielo,isen,hielo,یخ,lód,gelo,gheata,лед,лед,led,ľad,LED,hielo,Ice,น้ำแข็ง,buz,лід,برف,băng,iâ
الصورة,slika,изображение,imatge,图像,圖像,slika,obrázek,billede,afbeelding,image,pilt,kuva,image,Bild,εικόνα,estati,התמונה,छवि,duab,kép,gambar,immagine,イメージ,Taswira,ghItlhvam,,이미지,attēlu,vaizdas,imej,l-immaġni,wíimbala',bilde,tsita,تصویر,obraz,imagem,imagine,изображение,слика,slika,obrázok,slike,imagen,bild,รูปภาพ,görüntü,зображення,نقش,hình ảnh,delwedd
بوصة,palac,инч,polzada,英寸,英寸,palac,palec,tommer,inch,inch,tolli,tuuma,pouces,Zoll,ίντσα,pous,ס מ,इंच,nti,lassan mászik,inci,pollici,インチ,inchi,inch,,인치,collu,colių,inci,pulzier,pulgadas,tomme,pulgadas,اینچ,cal,polegadas,inch,дюйм,инчу,inču,palec,cola,pulgadas,tum,นิ้ว,inç,дюйма,انچ,inch,modfedd
إصابة,ozljede,нараняване,lesió,损伤,損傷,ozljede,zranění,skade,letsel,injury,kahju,vahingon,blessures,Verletzungen,τραυματισμού,blesi (n),פציעה,चोट,raug mob,sérülés,cedera,lesioni,傷害,jeraha,injury,,부상,traumas,žalos,kecederaan,ħsara,yáantiko'ob,skade,lesiones,آسیب,szkody,lesão,prejudiciu,травмы,повреда,povreda,zranenia,poškodbe,lesiones,skada,บาดเจ็บ,yaralanma,травми,چوٹ,chấn thương,anaf
داخل,iznutra,вътре,interior,里面,裡面,unutar,uvnitř,indvendig,binnenkant,inside,sees,sisällä,à l’intérieur,Innenseite,εσωτερικό,anndan,בפנים,अंदर,sab hauv,belső,dalam,interno,内側,ndani,qoD,,내부,iekšpusē,viduje,di dalam,ġewwa,interior,innsiden,interior,داخل,wewnątrz,interior,interior,внутри,унутра,unutra,vnútri,znotraj,interior,insida,ภายใน,iç,всередині,اندر,bên trong,tu mewn
الجزيرة,otok,остров,illa,岛屿,島嶼,Otok,ostrov,ø,eiland,island,Island,Island,île,Insel,νησί,zile,האי,द्वीप,kob,sziget,Pulau,Isola,島,Kisiwa,island,,아일랜드,salas,sala,Pulau,Gżira,Peetlu'umo',øya,Isla,جزیره,Wyspa,Ilha,Insula,Остров,острво,ostrvo,Ostrov,otok,Isla,ön,เกาะ,ada,Острів,جزیرہ,đảo,Ynys
أنها,To,Той,que,它,它,To,to,det,het,it,See,se,Il,Es,Αυτό,li,זה,यह,nws,Ez,itu,esso,それ,ni,'oH,,그것은,tas,jis,Ia,huwa,ku,det,ar,آن,to,-,l,Это,То,To,to,to,se,det,มัน,Bu,Це,یہ,nó,Mae'n
كانون الثاني/يناير,Siječanj,Януари,Gener,1 月,1 月,Siječanj,Leden,Januar,Januari,January,Jaanuar,Tammikuuta,Janvier,Januar,Ιανουάριος,Janvye,ינואר,जनवरी,Lub ib hlis ntuj,Január,Januari,Gennaio,1 月,Januari,january,,1 월,Janvāris,Sausio,Januari,January,Enero,Januar,Ya enero,ژانویه,Stycznia,Janeiro de,Ianuarie,Январь,Јануара,Januara,Januára,Januarja,Enero,Januari,มกราคม,Ocak,Січень,جنوری,Tháng một,Ionawr
الوظيفة,posao,работа,feina,工作,工作,posao,úloha,job,baan,job,töö,työ,emploi,Job,εργασία,travay,העבודה,नौकरी,txoj hauj lwm,foglalkozása,pekerjaan,lavoro,ジョブ,kazi,job,,작업,darbs,darbas,kerja,tax-xogħol,meyaj,jobb,'be̲fi,کار,zadanie,trabalho,Job,работа,посао,posao,Práca,delo,trabajo,jobb,งาน,iş,робота,کام,công việc,swydd
عصير,sok,сок,suc,果汁,果汁,sok,šťáva,Juice,SAP,juice,mahla,Juice,jus de,Saft,χυμό,dijesyon,מיץ,रस,kua txiv,gyümölcslé,jus,succo di frutta,ジュース,juisi,vIychorgh,,주스,sulas,sultys,jus,meraq,k'aab u,juice,jugo ar,آب,sok,suco de,suc,сок,сок,sok,šťava,sok,jugo de,Juice,น้ำผลไม้,suyu,сік,جوس,nước trái cây,sudd
تموز/يوليه,Srpanj,Юли,Juliol,7 月,7 月,Srpanj,Červenec,Juli,Juli,July,Juuli,Heinäkuuta,Juillet,Juli,Ιουλίου,Jiyè,יולי,जुलाई,Lub Xya hli ntuj,Július,Juli,Luglio,7 月,Julai,july,,7 월,Jūlija,Liepos,Julai,Lulju,Julio,Juli,Hulyo,ژوئیه,Lipiec,Julho,Iulie,Июль,Јула,Jula,Júla,Julija,Julio,Juli,กรกฎาคม,Temmuz,Липень,جولائی,Tháng bảy,Gorffennaf
الانتقال السريع,skok,скок,salt,跳转,跳轉,skok,skok,hoppe,-stap-springen,jump,hüpata,hypätä,sauter,springen,άλμα,depeche ou,לקפוץ,कूद,dhia,Ugrás,melompat,salto,ジャンプ,kuruka,Sup,,점프,lēkt,šuolis,lompat,Aqbeż,salto,hoppe,salto,پرش,skok,salto,Salt,прыжок,скок,skok,skok,skok,salto,hoppa,กระโดด,atlama,стрибок,چھلانگ,nhảy,neidio
حزيران/يونيه,LIPANJ,Юни,Juny,6 月,6 月,Lipnja,Červen,Juni,Juni,June,Juuni,Kesäkuuta,Juin,Juni,Ιουνίου,Jen,יוני,जून,Lub rau hli ntuj,Június,Juni,Giugno,6 月,Juni,june,,6 월,Jūnijs,Birželio,Jun,Ġunju,Junio,Juni,Hunyo,ژوئن,Czerwca,Junho de,Iunie,Июнь,Јуна,Juna,Júna,Junija,Junio,Juni,มิถุนายน,Haziran,Червень,جون,Tháng sáu,Mehefin
مفتاح,ključ,ключ,clau,关键,關鍵,ključ,klíč,nøgle,sleutel,key,võti,avain,moi ?,Schlüssel,κλειδί,kle,מפתח,कुंजी,qhov tseem ceeb,azaz;,kunci,chiave,キー,ufunguo,ngaQHa'moHwI'mey,,키,atslēga,raktas,kekunci,iċ-ċavetta,clave,nøkkel,clave,کلید,klucz,ou seja;,cheie,ключ,кључ,ključ,kľúč,ključ,clave,nyckel,คีย์,anahtar,ключ,کلید,chìa khóa,allweddol
قتل,ubiti,убие,matar,杀,殺,ubiti,zabít,dræbe,doden,kill,tappa,tappaa,tuer,zu töten,σκοτώσει,ouye tèt nwè,להרוג,को मार डालो,tua,Kill,membunuh,uccidere,殺す,kuua,HoH,,죽 일,nogalināt,nužudyti,membunuh,joqtlu,kíinsa'al u,drepe,hyo ya,کشتن,zabić,matar,ucide,убить,убити,ubiti,zabiť,ubiti,matar a,döda,ฆ่า,öldürmek,вбити,قتل,giết chết,lladd
كيلوغرام,kilogramu,килограм,quilogram,公斤,公斤,kilogramu,kilogram,kg,kilogram,kilogram,kilogramm,kilogramma,kilogramme,Kilogramm,χιλιόγραμμο,kilogram,קילוגרם,किलोग्राम,kilogram,kilogramm,kilogram,chilogrammo,キログラム,kilo,kilogram,,킬로그램,kilograms,kilogramas,kilogram,kilogramma,kilogramo,kilo,kilogramo,کیلوگرم,kilogram,quilograma,kilogram,килограмм,килограму,kilogramu,kilogram,kilogram,kilogramo,kilogram,กิโลกรัม,kilogram,кілограм,کلوگرام,kilôgam,cilogram
الملك,Kralj,крал,rei,国王,國王,Kralj,Král,Kongen,koning,king,kuningas,kuningas,roi,König,βασιλιάς,wa,המלך,राजा,huab tais,király,Raja,Re,王,mfalme,ta',,킹,karalis,karalius,Katil Raja,king,ajawo',kongen,'naha mar ndä,پادشاه,Król,Rei,Regele,Кинг,Краљ,Kralj,Kráľ,kralj,rey,King,เตียงคิงไซส์,Kral,Кінг,بادشاہ,vua,Brenin
قبله,poljubac,Целувка,petó,吻,吻,poljubac,Polibek,Kys,kus,kiss,Musi,Suukko,baiser,Kuss,Φιλί,bo,נשיקה,चुंबन,hnia,csók,Cium,bacio,キス,busu,kiss,,키스,buča,bučinys,ciuman,kiss,ts'u'uts',kyss,beso,بوس,pocałunek,beijo,sărut,поцелуй,пољубац,poljubac,"bozk, pobozkať",poljub,beso,Kyss,จูบ,öpücük,Поцілунок,بوسہ,Hôn,cusan
مطبخ,kuhinja,кухня,cuina,厨房,廚房,kuhinja,kuchyně,køkken,keuken,kitchen,köök,Keittiö,cuisine,Küche,κουζίνα,kizin,מטבח,रसोई,chav tsev mov,konyha,dapur,cucina,キッチン,jikoni,kitchen,,주방,virtuves,virtuvė,dapur,tal-kċina,k'óoben,kjøkken,hñuni,آشپزخانه,kuchnia,cozinha,bucatarie,кухня,кухиња,kuhinja,Kuchyňa,kuhinja,cocina,kök,ห้องครัว,mutfak,кухня,باورچی خانہ,nhà bếp,cegin
الركبة,koljeno,коляно,genoll,膝关节,膝關節,koljeno,koleno,knæ,knie,knee,põlve,polvi,genou,Knie,γόνατο,Jenou,הברך,घुटने,hauv caug,térd,lutut,al ginocchio,膝,goti,qIv,,무릎,Celis,kelio sąnario,lutut,l-irkoppa,píix,kne,rodilla,زانو,kolano,joelho,genunchi,колено,колено,koleno,koleno,kolena,rodilla,knä,หัวเข่า,diz,коліно,گھٹنا,đầu gối,pen-glin
سكين,nož,нож,ganivet,刀,刀,nož,nůž,kniv,mes,knife,nuga,veitsi,couteau,Messer,μαχαίρι,kouto,סכין,चाकू,riam,kés,pisau,coltello,ナイフ,Kisu,taj,,나이프,nazis,peilis,pisau,sikkina,xotob,kniv,jwai,چاقو,Nóż,faca,cutit,нож,нож,nož,nôž,nož,cuchillo,kniv,มีด,bıçak,ножем,چھری,con dao,cyllell
بحيرة,jezero,езеро,Llac,湖,湖,jezero,jezero,søen,Lake,lake,Lake,Lake,Lac,See,Λίμνη,Lake,אגם,झील,pas dej,tó,Danau,Lago,湖,Ziwa,ngeng,,호수,ezers,ežeras,Tasik,Għadira,Lago,Lake,Lago,دریاچه,Jezioro,Lago,Lacul,озеро,језеро,jezero,jazero,jezero,Lago,sjön,ทะเลสาบ,Göl,озеро,جھیل,Lake,Llyn
مصباح,lampa,лампа,Làmpada,灯,燈,Lampa,lampa,lampe,lamp,lamp,lamp,lamppu,lampe,Lampe,Λαμπτήρας,lanp,המנורה,दीपक,teeb,lámpa,lampu,Lampada,ランプ,taa,jatlhtaH,,램프,lukturis,lempa,lampu,fanal,Lámpara,lampe,Lámpara,لامپ,Lampa,lâmpada,lampa,лампа,лампа,lampa,lampa,svetilka,Lámpara,lampa,โคมไฟ,lamba,лампа,چراغ,đèn,lamp
أجهزة الكمبيوتر المحمول,prijenosno računalo,лаптоп,portàtil,笔记本电脑,筆記本電腦,prijenosno računalo,přenosný počítač,laptop,laptop,laptop,sülearvuti,kannettava tietokone,ordinateur portable,Laptop,φορητό υπολογιστή,labtòb,מחשב נייד,लैपटॉप,laptop,laptop,laptop,computer portatile,ノート パソコン,Laptop,laptop,,노트북,klēpjdators,nešiojamas kompiuteris,komputer riba,laptop,ordenador portátil,bærbar PC,ordenador portátil,لپ تاپ,laptopa,computador portátil,laptop,Ноутбук,лаптоп,laptop,notebook,prenosni računalnik,ordenador portátil,bärbar dator,แล็ปท็อป,dizüstü bilgisayar,ноутбук,لیپ ٹاپ,máy tính xách tay,gliniadur
كبيرة,veliki,голям,gran,大,大,veliki,velký,store,grote,large,suur,suuri,grande,große,μεγάλο,laj,גדול,बड़े,loj,nagy,besar,grande,大規模です,kubwa,yIteb,,큰,liels,didelis,besar,kbar,nukuch,store,dätä,بزرگ,duży,grande,mare,большие,велики,veliki,veľké,velike,grandes,stora,ขนาดใหญ่,büyük,великий,بڑی,lớn,mawr
الضحك,smijeh,смях,riure,笑,笑,smijeh,smích,grine,lachen,laugh,naerma,nauraa,éclat de rire,Lachen,γέλιο,ri,הצחוק,हँसते हैं,luag,nevetni,tertawa,risata,笑い,kucheka,Hagh,,웃음,smieties,juoktis,ketawa,laugh,che'ej,Le,risa,خنده,śmiać się,rir,Sa Radem,смеяться,Смеј се,Smej se,smiech,smeh,risa,skratta,หัวเราะ,gülmek,сміятися,ہنسی,cười,Chwerthin
محام,odvjetnik,адвокат,advocat,律师,律師,odvjetnik,právník,advokat,advocaat,lawyer,advokaat,asianajaja,avocat,Rechtsanwalt,δικηγόρος,avoka,עו ד,वकील,tus kws lij choj,ügyvéd,pengacara,avvocato,弁護士,Mwanasheria,lawyer,,변호사,jurists,advokatas,Peguam,Avukat,abogado,advokat,abogado,وکیل,prawnik,advogado,avocat,юрист,Адвокат,Advokat,právnik,odvetnik,abogado,advokat,ทนายความ,avukat,юрист,وکیل,luật sư,cyfreithiwr
نبات,list,листа,fulla,叶,葉,list,list,blad,blad,leaf,Leaf,lehti,feuille,Blatt,φύλλο,fèy,עלה,पत्ता,nplooj,levél,daun,foglia,リーフ,jani,por,,잎,Leaf,lapų,daun,weraq,le',blad,hoja,برگ,liść,folha,frunze,лист,лист,list,list,listov,hoja,Leaf,ใบ,yaprak,лист,پتی,lá,dail
تعلم,Saznajte,Научете,aprendre,学习,學習,naučiti,učit se,lære,leren,learn,õppida,oppia,apprendre,lernen,Μάθετε,aprann,ללמוד,जानें,kawm,Ismerje meg,belajar,imparare,学ぶ,kujifunza,ghoj,,배우고,mācīties,Sužinokite,belajar,Tgħallem,kanik,Lær,gi meya,یادگیری,Dowiedz się więcej,Aprenda,afla,Узнайте,Сазнајте више,Saznajte više,učiť sa,učenje,aprender,Lär dig mer,เรียนรู้,bilgi edinin,дізнатися,سیکھ,Tìm hiểu,ddysgu
اليسار,lijevo,ляв,esquerra,左,左,lijevo,vlevo,venstre,links,left,vasakule,vasemmalle,gauche,Links,αριστερά,gòch,שמאל,बाईं ओर,sab laug,bal,kiri,sinistra,左,kushoto,poS,,왼쪽,kreisajā pusē,kairėje,kiri,xellug,izquierda,venstre,izquierda,چپ,po lewej stronie,esquerda,stânga,слева,лево,levo,vľavo,levo,izquierda,vänster,ซ้าย,sol,ліворуч,بائیں طرف,bên trái,chwith
الساق,noga,крак,cama,腿部,腿部,noga,noha,Ben,been,leg,jalg,jalka,jambe,Bein,πόδι,Janm,הרגל,पैर,ceg,láb,kaki,gamba,脚,mguu,HajDob,,다리,kāja,kojos,pusingan,tar-riġel,muk' ook,Ben,pierna,پا,nogi,perna,picior,нога,нога,noga,nohy,noge,pierna,Ben,ขา,bacak,ноги,ٹانگ,chân,goes
الليمون,limun,лимон,llimona,柠檬,檸檬,limun,citron,citron,citroen,lemon,sidrun,sitruuna,citron,Zitrone,λεμόνι,sitwon,לימון,नींबू,txiv qaub,citrom,lemon,limone,レモン,limau,tera' na'ran wIb,  ,레몬,citronu,citrina,Lemon,tal-lumi,limón,sitron,limón,لیمو,cytryna,limão,lamaie,Лимон,лимун,limun,citrón,limone,limón,citron,มะนาว,limon,лимон,لیموں,chanh,lemwn
رسالة,pismo,писмо,carta,信,信,pismo,dopis,brev,brief,letter,täht,kirje,Lettre,Brief,επιστολή,lèt,מכתב,पत्र,tsab ntawv,levél,Surat,lettera,手紙,barua,jabbI'ID,,편지,vēstule,laiškas,Surat,l-ittra,arial,brev,letra,نامه,litera,carta,scrisoare,Письмо,писмо,pismo,list,pismo,letra,brev,ตัวอักษร,mektup,лист,حرف,lá thư,llythyr
مكتبة,biblioteka,Библиотека,Biblioteca,图书馆,圖書館,biblioteka,Knihovna,bibliotek,bibliotheek,library,Raamatukogu,Kirjasto,Bibliothèque,Bibliothek,βιβλιοθήκη,bibliyotèk,הספרייה,पुस्तकालय,qiv,könyvtár,Perpustakaan,Biblioteca,ライブラリ,Maktaba,"be'nI''a'wI', Datu'", ,라이브러리,bibliotēka,biblioteka,Perpustakaan,il-librerija,Biblioteca,biblioteket,Biblioteca,کتابخانه,Biblioteka,biblioteca,Biblioteca,Библиотека,библиотека,biblioteka,Knižnica,knjižnica,Biblioteca,bibliotek,ไลบรารี,Kütüphane,Бібліотека,لائبریری,thư viện,Llyfrgell
الاستلقاء,Lezi,лежа голо възвишение,jeure,躺下来,躺下來,Lezi,lehnout si,ligge ned,liggen,lie down,pikali,makuulle,s’allonger,Legen Sie sich,ξάπλωσε κάτω,lonje kò li,. תשכבי,लेट,chev,feküdjön le,berbaring,sdraiarsi,横になります。,uongo chini,nep,,누워서,atgulties,atsigulti,Baring ke kiri atau,jimteddu,u acueste,ligge,ar acueste,دراز,leżeć,Deite-se,Culcă-te,Ложись,Лези доле,Lezi dole,ľahnúť,uležejo,se acueste,ligga ner,นอนลง,Uzan,лягти,لیٹ جاؤ,nằm xuống,orwedd i lawr
رفع,Podignite,лифт,Ascensor,电梯,電梯,Podignite,Výtah,Lift,Lift,lift,Tõstke,Nosta,ascenseur,Heben Sie,ανελκυστήρα,leve,הרם,लिफ्ट,nyom,Lift,mengangkat,sollevare,リフト,mwinuko,lift,,리프트,Lift,keltuvas,Angkat,lift,ascensor,Løft,ascensor,بالابر,winda,elevador,Lift,Подъемник,Подигни,Podigni,vlek,dvigalo,ascensor,Lift,ลิฟต์,Asansör,підйомник,لفٹ,Thang máy,lifft
الضوء,svjetlo,светлина,llum,光,光,svjetlo,světlo,lys,licht,light,valgus,valo,lumière,Licht,φως,limyè,אור,प्रकाश,teeb,fény,cahaya,luce,光,nuru,wovmoHwI',,빛,gaisma,šviesos,cahaya,dawl,sáasil,lys,Ar hats'i,نور,światło,luz,lumina,свет,светло,svetlo,svetlo,svetlobe,luz,ljus,แสง,ışık,світло,روشنی,ánh sáng,golau
أزرق فاتح,svijetlo plava,светло синьо,blau clar,浅蓝色,淺藍色,svijetlo plava,světle modrá,lyseblå,licht blauw,light blue,helesinine,Vaaleansininen,bleu clair,hellblau,γαλάζιο,limyè ble,כחול בהיר,हल्के नीले रंग,lub teeb ntsuab,világoskék,biru muda,blu chiaro,ライトブルー,Samawati hafifu,SuD 'ej wov,  ,연한 파랑,gaiši zila,šviesiai mėlyna,biru,blu ċar,ch'ooj xane',lys blå,k'angi xí hño,آبی روشن,jasnoniebieski,azul claro,albastru deschis,светло-голубой,светло плава,svetlo plava,svetlo modrá,svetlo modra,azul claro,ljusblå,สีฟ้าอ่อน,Açık mavi,світло-блакитний,ہلکا نیلا,ánh sáng màu xanh,glas golau
الشفة,za usne,устна,llavi,嘴唇,嘴唇,za usne,LIP,læbe,lip,lip,huule,huuli,pour les lèvres,Lippe,χείλη,o bouch,שפתיים,होंठ,di ncauj,ajak,bibir,labbro,リップ,mdomo,wuS,,입술,valodas interfeisa pakotni,lūpų,bibir,LIP,chi',leppe,xine,لب,wargi,lábio,buza,для губ,усна,usna,pery,ustnice,labios,läpp,ริมฝีปาก,dudak,губи,ہونٹ,Son môi,gwefusau
الاستماع,Slušaj,Слушай,escoltar,听着,聽著,Slušaj,poslouchat,lytte,luisteren,listen,Kuula,Kuuntele,Ecoute,hören,Ακούστε,koute,. תקשיב,सुनो,mloog,Figyelj,mendengarkan,Ascolta,耳を傾ける,Sikiliza,'Ij,,들어 봐,klausīties,Klausyti,mendengar,tisma ' l-,wu'uyik,lytte,'mu̲ise̲,گوش دادن,Słuchaj,Ouça,asculta,прослушать,Слушај,Slušaj,Počúvajte,Poslušaj,escuchar,lyssna,ฟัง,Dinle,слухати,سنتے ہیں,lắng nghe,gwrando ar
موقع,lokacija,местоположение,Localització,位置,位置,Lokacija,umístění,beliggenhed,locatie,location,asukoht,Sijainti,emplacement,Lage,τοποθεσία,kote yo ye,מיקום,स्थान,qhov chaw,hely,Lokasi,posizione,場所,mahali pa,location,,위치,atrašanās vieta,vieta,lokasi,il-post,Tu'ux ku yaantal,beliggenhet,Ja yá 'mui,محل,Lokalizacja,localização,locaţie,Местоположение,локација,lokacija,umiestnenie,mesto,Ubicación,läge,ตำแหน่งที่ตั้ง,konumu,розташування,محل وقوع,vị trí,lleoliad
قفل,zaključavanje,заключване,Pany,锁,鎖,zaključavanje,zámek,Lås,vergrendelen,lock,lukk,lukko,serrure,Sperre,κλειδαριά,fèmen a kle,מנעול,ताला,ntsuas phoo,zár,kunci,serratura,ロック,Funga,ngaQ,,잠금,bloķēšana,užraktas,kunci,serratura,cerradura,Lås,cerradura,قفل,Blokada,bloqueio,blocare,Замок,брава,brava,zámok,zaklepanje,cerradura,Lås,ล็อค,kilit,блокування,مقفل کریں,khóa,clo
طويلة,dugo,дълъг,llarg,长,長,dugo,dlouhý,lang,lange,long,pikk,pitkä,long,lange,μακρά,lontan,ארוך,लंबे,ntev,hosszú,panjang,lungo,長い,muda mrefu,'aD,,긴,garš,ilgas,panjang,twil,largo,lang,largo,طولانی,długie,longo,lung,длинный,дуга,duga,dlhé,dolgo,largo,lång,ยาว,uzun,довгий,طویل,dài,hir
